id,objective,theta0,theta1
0.0,0.23167872,0.42000000000000004,0.36400000000000005,
1.0,0.19592305754111997,0.39312,0.41910400000000003,
2.0,0.16595678206298164,0.36191232,0.465439744,
3.0,0.14057389100962434,0.33308900352000004,0.508016502784,
4.0,0.11907328275856213,0.30655976988672,0.547201114292224,
5.0,0.10086116678615886,0.28214346296328197,0.5832648053374321,
6.0,0.08543457213733245,0.25967182064726313,0.6164561617500284,
7.0,0.07236745666212843,0.23898995825916702,0.6470039542011675,
8.0,0.0612989408471164,0.21995532671325974,0.6751187324030924,
9.0,0.05192334126818487,0.20243673040467913,0.7009942765887976,
10.0,0.043981728414793926,0.18631342295410874,0.7248089331405101,
11.0,0.037254775734895856,0.1714742749672184,0.7467268438366388,
12.0,0.03155670240987022,0.15781700807877724,0.7668990771938705,
13.0,0.02673014257477701,0.14524749000220755,0.7854646697022152,
14.0,0.02264179928522657,0.13367908572573187,0.8025515841296816,
15.0,0.019178763204811017,0.12303206038325327,0.8182775915016701,
16.0,0.016245394344883778,0.11323302968427451,0.8327510828340958,
17.0,0.013760680738504493,0.10421445411496211,0.8460718162150896,
18.0,0.011656001102040549,0.09591417342415096,0.858331604384513,
19.0,0.009873229694996615,0.08827497818574985,0.8696149475504068,
20.0,0.008363131039263328,0.08124421548455411,0.8799996158040438,
21.0,0.007084000164134106,0.07477342600766781,0.8895571851478592,
22.0,0.006000510824217877,0.0688180100401995,0.8983535308308179,
23.0,0.005082739881042473,0.06333692006311634,0.9064492813915164,
24.0,0.004305340904323259,0.058292377834498026,0.9139002365384955,
25.0,0.0036468441699277357,0.053649614004181286,0.920757751747994,
26.0,0.0030890637223131763,0.04937662846709687,0.927069092229968,
27.0,0.0026165951260539856,0.0454439698035425,0.932877758702079,
28.0,0.0022163900356715767,0.041824532286189556,0.9382237872170344,
29.0,0.001877395834499047,0.03849336905470241,0.9431440251098342,
30.0,0.0015902503903499129,0.03542752017028034,0.9476723849668796,
31.0,0.0013470234979416724,0.0326058543649947,0.9518400783674177,
32.0,0.001140997867391047,0.030008923395182963,0.9556758310083798,
33.0,9.664836102564326E-4,0.02761882799503535,0.9592060806953527,
34.0,8.186610997180531E-4,0.02541909450646246,0.9624551595643295,
35.0,6.934478651052841E-4,0.023394561334920374,0.9654454617901993,
36.0,5.873858447466088E-4,0.021531274448592423,0.9681975979379002,
37.0,4.975458833611146E-4,0.019816391200659648,0.9707305370200957,
38.0,4.2144683645957214E-4,0.018238091811757676,0.9730617372405038,
39.0,3.5698704763047445E-4,0.016785497902515694,0.9752072663240222,
40.0,3.0238630629310197E-4,0.015448597514665353,0.9771819122630215,
41.0,2.561366829427221E-4,0.014218176103930565,0.9789992852431223,
42.0,2.1696088408616542E-4,0.013085753029067788,0.9806719114509749,
43.0,1.8377697674009784E-4,0.012043523099310893,0.9822113194106116,
44.0,1.556685082750526E-4,0.011084302777336418,0.9836281194434384,
45.0,1.3185919639352266E-4,0.010201480666956796,0.9849320767995455,
46.0,1.1169149024557052E-4,0.009388971944277907,0.9861321789643891,
47.0,9.460841059614618E-5,0.008641176418239973,0.9872366976047547,
48.0,8.013816751705508E-5,0.007952939931474992,0.9882532455809632,
49.0,6.788113078450989E-5,0.0073195188354379555,0.989188829418273,
50.0,5.7498793138776116E-5,0.0067365472949567065,0.9900498975991376,
51.0,4.870442160003378E-5,0.006200007196849196,0.9908423850091698,
52.0,4.125513865427626E-5,0.005706200455203478,0.9915717538431553,
53.0,3.494521461235038E-5,0.0052517235224358175,0.9922430312530613,
54.0,2.9600385894634923E-5,0.004833443930444963,0.992860843997524,
55.0,2.5073042327279026E-5,0.004448478700173447,0.9934294503316383,
56.0,2.1238150535715006E-5,0.004094174470763964,0.9939527693568492,
57.0,1.7989800850252084E-5,0.0037680892113525345,0.9944344080332352,
58.0,1.523828235832051E-5,0.003467975389446985,0.9948776860403695,
59.0,1.2907605323971188E-5,0.003191764479878904,0.9952856586581073,
60.0,1.0933402550349532E-5,0.0029375527075586444,0.9956611378250071,
61.0,9.261151726260873E-6,0.0027035879257646107,0.9960067115195299,
62.0,7.844669662700885E-6,0.0024882575395268306,0.9963247615975999,
63.0,6.6448368341060925E-6,0.00229007739086608,0.9966174802094723,
64.0,5.628516999489219E-6,0.0021076815292814756,0.9968868849090606,
65.0,4.767642066233521E-6,0.0019398127969789862,0.9971348325598643,
66.0,4.03843692286623E-6,0.0017853141639506767,0.9973630321333425,
67.0,3.4207628327382203E-6,0.001643120753181328,0.9975730564879466,
68.0,2.8975612548472463E-6,0.0015122525010168623,0.9977663532099978,
69.0,2.4543827316060435E-6,0.0013918074021059634,0.9979442545911316,
70.0,2.078987832657116E-6,0.0012809552923565251,0.9981079868110752,
71.0,1.7610091338558137E-6,0.0011789321270553876,0.998258678389054,
72.0,1.4916648961626038E-6,0.0010850347147139284,0.9983973679620751,
73.0,1.263516537004926E-6,9.98615870342649E-4,0.9985250114437,
74.0,1.0702631961053553E-6,9.190799547488057E-4,0.9986424886126493,
75.0,9.065677222180482E-7,8.458787691119539E-4,0.9987506091766505,
76.0,7.679092749880655E-7,7.785077765403828E-4,0.9988501183533227,
77.0,6.504584711774197E-7,7.16502624566572E-4,0.9989417020065663,
78.0,5.509716271275287E-7,6.594359446121293E-4,0.9990259913738582,
79.0,4.6670117671013553E-7,6.069144063632141E-4,0.9991035674170367,
80.0,3.9531979074506845E-7,5.585760067535814E-4,0.9991749648265628,
81.0,3.348561022632415E-7,5.140875748696901E-4,0.9992406757068574,
82.0,2.836402625113926E-7,4.7314247558081937E-4,0.9993011529681161,
83.0,2.4025782410347487E-7,4.3545849606549424E-4,0.9993568134479779,
84.0,2.035106776867009E-7,4.007759006689207E-4,0.9994080407845665,
85.0,1.72383963298844E-7,3.688556406827584E-4,0.9994551880607033,
86.0,1.4601804259311783E-7,3.3947770670942923E-4,0.9994985802375206,
87.0,1.2368475787830983E-7,3.1243961225419967E-4,0.9995385163942452,
88.0,1.0476732230996214E-7,2.8755499809326817E-4,0.9995752717895932,
89.0,8.874328585254273E-8,2.646523477988393E-4,0.999609099758982,
90.0,7.517010657778914E-8,2.435738055671897E-4,0.999640233460637,
91.0,6.367292881520623E-8,2.2417408820262733E-4,0.9996688874826269,
92.0,5.393423062011989E-8,2.0631948375747795E-4,0.9996952593219056,
93.0,4.568505464896394E-8,1.8988692992690643E-4,0.9997195307455539,
94.0,3.869758026177402E-8,1.747631658454477E-4,0.999741869043603,
95.0,3.277883171254274E-8,1.608439514403913E-4,0.9997624281820764,
96.0,2.7765348664470248E-8,1.4803334896002662E-4,0.9997813498641956,
97.0,2.3518671843477786E-8,1.3624306172583628E-4,0.9997987645070652,
98.0,1.992151915560009E-8,1.253918255503722E-4,0.9998147921405686,
99.0,1.6874546662670484E-8,1.1540484862630846E-4,0.9998295432346704,
